GEOID10,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
400276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,705,338
400277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,62,312
400278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,829,254
400279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830,467,1363
4002710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231,333,898
4002711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,683,457
4002712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,524,738
4002713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237,1288,949
4002714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,613,362
4002715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,757,484
4002716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437,450,987
4002717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,226,614
4002718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,412,287
4002719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,874,876
4002720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,299,884
4002721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,299,669
4002722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,587,1514
4002723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,83,262
4002724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2270,712,1558
4002725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,295,558
4002726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,658,728
4002727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,448,829
4002728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1118,895
4002729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,398,858
4002730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,466,738
4002731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,332,749
4002732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955,1177,778
4002733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,189,258
4002734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780,513,1267
4002735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,433,603
4002736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,333,856
4002737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,381,799
4002738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,414,717
4002739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257,543,714
4002740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1724,531,1193
4002741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,429,750
4002742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,535,387
4002743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,393,869
4002744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,311,736
4002745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,283,499
4002746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439,815,624
4002747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1728,585,1143
4002748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,257,466
4002749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,188,302
